T,wCO2,rho_s,rho_fl,mu_fl,wC_s,wC_fl,wMg_s,wSi_s,wH_s,Dolomite,Antigorite,Talc,Magnesite,Chlorite,Orthopyroxene,Olivine,"q,tc-ds633","cor,tc-ds633","mt,tc-ds633","hem,tc-ds633"
573.15,0,2861.9608083482,1287.10120504454,-222900.932275848,0,0,0.207043208393356,0.183940197447294,0.0119690841239166,0,0.877762273930214,0.0376354001571865,0,0.0324012939340243,0,0,0,0,0,0.0438180267651014
573.15,1,2858.98948741372,1287.10120504454,-222900.932275848,0.00265565121140896,0,0.20519958396458,0.182302294692216,0.0117700870195757,0.00837077794189763,0.860014009570104,0.0436616537756617,0,0.0312502925731948,0,0,0,0,0,0.0433827601193359
573.15,2,2872.3488756259,1287.10189650836,-394547.023085716,0.00528000420277365,1.10472289210578e-06,0.204027390591925,0.181260901052281,0.0112598610832672,0.0319208319836217,0.817299911916928,0.0742909051058449,0.00749449318782059,0.0256573602858361,0,0,0,0,0,0.0433364975199489
573.15,3,2872.3488756259,1287.10189650836,-394547.023085716,0.00528000420277365,1.10472289210578e-06,0.204027390591925,0.181260901052281,0.0112598610832672,0.0319208319836217,0.817299911916928,0.0742909051058449,0.00749449318782059,0.0256573602858361,0,0,0,0,0,0.0433364975199489
573.15,4,2897.95239701243,1287.10205030798,-393592.67240611,0.0104414119552258,1.35041528192303e-06,0.201721996469678,0.179212755385825,0.0102563817068912,0.0317570946021272,0.730224348210389,0.135410589253721,0.0432262192774513,0.0161530013964545,0,0,0,0,0,0.0432287472598568
573.15,5,2897.95239701243,1287.10205030798,-393592.67240611,0.0104414119552258,1.35041528192303e-06,0.201721996469678,0.179212755385825,0.0102563817068912,0.0317570946021272,0.730224348210389,0.135410589253721,0.0432262192774513,0.0161530013964545,0,0,0,0,0,0.0432287472598568
573.15,6,2923.58216516643,1287.1021580885,-393021.851479509,0.0154875385512661,1.52268819125481e-06,0.199468093822848,0.17721035549499,0.00927531525902062,0.031630173021995,0.629658274696931,0.197321787634009,0.0784090732707626,0.0198569049593498,0,0,0,0,0,0.0431237864169523
573.15,7,2923.58216516643,1287.1021580885,-393021.851479509,0.0154875385512661,1.52268819125481e-06,0.199468093822848,0.17721035549499,0.00927531525902062,0.031630173021995,0.629658274696931,0.197321787634009,0.0784090732707626,0.0198569049593498,0,0,0,0,0,0.0431237864169523
573.15,8,2949.1432733447,1287.10223278958,-392663.037027551,0.0204221883274512,1.64203063795639e-06,0.197263983406661,0.175252191746008,0.00831592210166198,0.0315230365679816,0.519997036939205,0.259685346436883,0.11325292028889,0.0325215201543395,0,0,0,0,0,0.0430201396127013
573.15,9,2949.1432733447,1287.10223278958,-392663.037027551,0.0204221883274512,1.64203063795639e-06,0.197263983406661,0.175252191746008,0.00831592210166198,0.0315230365679816,0.519997036939205,0.259685346436883,0.11325292028889,0.0325215201543395,0,0,0,0,0,0.0430201396127013
